"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","의약품","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","문화강습료","초등학생학원비","중학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","이러닝이용료","학교보충교육비","취업학원비","외국어학원비","운동강습료","혼인율"
"2002. 11",68.357,70.744,92.64,71.891,66.934,77.867,"93.034999999999997",64.69,81.051,67.202,99.63,64.809,76.29,66.696,67.097,61.448,95.967,74.982,"-",63.667,"-",63.538,65.186,66.971,62.766,59.014,82.72,"-","85.649000000000001",60.547,74.448,103.78,2111
"2002. 12",69.849,70.81,93.284,71.825,66.934,76.585,"93.119",65.502,81.413,67.202,99.63,64.809,76.29,66.696,67.097,61.448,93.389,74.982,"-",63.667,"-",63.538,65.186,66.971,62.766,59.014,82.72,"-","85.649000000000001",60.547,74.448,103.78,1718
"2003. 01",71.589,71.142,93.561,71.825,66.995,78.294,"93.287999999999997",65.618,81.484,67.202,99.63,64.809,76.29,66.696,67.097,61.448,93.389,76.555,"-",63.667,"-",64.392,66.567,68.329,62.766,60.587,82.72,"-","85.649000000000001",60.547,74.448,103.78,885
"2003. 02",72.397,71.672,93.652,71.891,68.078,80.784,"93.287999999999997",65.559,81.556,67.202,99.63,64.809,76.29,66.696,67.097,61.448,93.389,76.555,"-",64.608,"-",64.392,66.567,68.329,63.867,60.587,82.72,"-","85.649000000000001",60.547,75.436,103.78,910
"2003. 03",73.889,71.939,93.376,71.624,68.318,82.279,"93.876999999999995",65.85,81.629,71.12,105.201,70.243,85.912,72.494,72.751,68.826,95.967,78.129,"-",64.608,"-",70.421,67.884,68.329,68.272,60.587,82.72,"-","81.594999999999999",60.547,75.436,103.78,1741
"2003. 04",73.329,71.341,92.64,71.825,68.318,78.435,"93.793000000000006",66.256,81.773,73.106,105.201,70.243,85.912,70.829,72.751,68.826,95.967,78.129,"-",64.608,"-",70.421,67.884,69.625,68.272,60.587,82.72,"-","80.817999999999998",60.547,75.436,103.78,1750
"2003. 05",71.092,71.341,92.64,72.291,68.318,77.937,"93.876999999999995",66.256,82.206,73.106,105.201,70.243,85.912,70.829,72.751,68.826,95.967,78.129,"-",64.608,"-",70.421,67.884,69.625,68.272,60.587,82.72,"-","80.817999999999998",60.547,75.436,103.78,1750
"2003. 06",69.663,71.076,92.824,72.291,68.318,76.87,"93.876999999999995",66.371,82.28,73.106,105.201,70.243,85.912,70.829,71.151,68.826,95.967,81.275,"-",64.608,"-",70.421,67.884,69.625,68.272,60.587,82.72,"-","80.817999999999998",60.547,75.436,103.78,979
"2003. 07",69.849,70.744,90.798,72.291,68.318,77.511,"93.793000000000006",65.734,82.423,73.106,105.201,70.243,85.912,70.829,71.151,68.826,95.967,79.702,"-",64.608,"-",70.421,67.884,68.329,68.272,61.613,82.72,"-","80.817999999999998",60.547,75.436,103.78,577
"2003. 08",71.278,70.876,90.798,72.291,68.318,77.511,"93.793000000000006",66.603,82.784,73.106,105.201,70.243,85.912,70.829,71.151,68.826,95.967,79.702,"-",64.608,"-",70.421,67.884,68.329,68.272,61.613,82.72,"-","80.817999999999998",62.461,75.436,103.78,706
"2003. 09",76.499,70.942,91.075,72.225,68.318,77.511,"93.793000000000006",66.893,82.929,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,"-",64.608,"-",70.421,67.884,68.329,68.272,61.613,82.72,"-","80.817999999999998",62.461,75.436,103.78,949
"2003. 10",78.238,70.876,90.798,72.025,68.318,77.582,"93.709000000000003",66.951,83.002,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,"-",64.608,"-",70.421,69.201,66.971,68.272,61.613,82.72,"-","80.817999999999998",62.461,75.436,103.78,2084
"2003. 11",75.629,70.942,91.075,72.025,68.68,79.29,"93.203999999999994",64.574,83.073,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,"-",64.608,"-",70.421,69.201,66.971,68.272,61.613,82.72,"-","80.817999999999998",62.461,75.436,103.78,1863
"2003. 12",75.69,71.739,91.258,72.025,70.546,80.643,"93.287999999999997",66.893,83.073,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,"-",64.608,"-",70.421,69.201,66.971,68.272,61.613,89.071,"-","80.817999999999998",63.739,75.436,103.78,1526
"2004. 01",77.617,72.138,91.627,71.958,70.607,82.563,"93.203999999999994",66.198,83.073,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,"-",64.608,"-",70.819,69.201,66.971,68.272,63.665,89.071,"-","80.817999999999998",63.739,75.436,98.314,835
"2004. 02",77.99,72.336,91.258,72.225,70.305,83.703,"93.119",66.835,82.929,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,81.275,"-",64.608,"-",70.819,69.201,66.971,68.272,65.785,89.071,"-","80.817999999999998",63.739,75.436,96.582,1201
"2004. 03",80.538,72.734,92.364,72.025,70.365,84.415,"93.203999999999994",67.299,82.713,82.431,110.132,75.676,92.161,76.913,74.806,73.282,101.787,81.275,"-",66.114,"-",72.753,71.334,70.119,69.153,65.785,89.071,"-","80.817999999999998",63.739,76.424,98.769,1448
"2004. 04",80.041,72.802,92.364,72.092,70.486,83.917,"93.287999999999997",66.951,82.784,82.431,110.132,75.676,92.161,76.913,74.806,73.282,101.787,83.746,"-",66.114,"-",72.753,71.334,70.119,69.153,65.785,89.071,"-","82.715999999999994",63.739,76.424,98.769,1259
"2004. 05",78.114,73,92.18,71.558,70.486,84.913,"93.287999999999997",67.241,82.784,82.431,110.132,75.676,92.161,76.913,74.806,73.282,101.787,83.746,"-",66.114,"-",72.753,71.334,70.119,69.153,64.143,89.071,"-","82.715999999999994",63.739,76.424,98.769,2047
"2004. 06",77.12,73.199,92.088,71.558,70.486,84.628,"93.287999999999997",67.994,82.857,82.431,110.132,75.676,92.161,76.913,74.806,73.282,101.787,83.746,"-",66.114,"-",72.753,71.334,70.119,69.153,64.143,89.071,"-","80.817999999999998",63.739,76.424,101.32,1008
"2004. 07",79.606,73.199,91.627,71.358,70.486,85.482,"93.456999999999994",67.762,82.784,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,"-",66.114,"-",72.753,71.334,70.119,69.153,64.143,89.071,"-","80.817999999999998",63.739,77.017,101.32,668
"2004. 08",82.651,73.73,91.812,71.358,70.667,87.689,"93.456999999999994",68.169,82.713,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,"-",66.114,"-",72.753,71.334,70.119,69.153,64.143,89.071,"-","80.817999999999998",63.739,77.017,101.32,663
"2004. 09",82.899,73.664,91.719,71.091,70.667,87.547,"93.456999999999994",67.53,82.784,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,"-",66.114,"-",73.663,71.334,70.119,69.153,64.143,89.071,"-","80.817999999999998",63.739,77.017,101.32,916
"2004. 10",80.786,74.194,91.535,71.225,70.667,88.97,"93.287999999999997",67.415,82.64,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,"-",66.114,"-",73.663,71.334,70.119,69.153,64.143,89.071,"-","80.817999999999998",65.771,77.017,101.32,2207
"2004. 11",76.933,73.863,91.535,71.691,70.667,88.045,"93.287999999999997",66.082,82.64,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,"-",66.114,"-",73.663,71.334,70.119,69.153,64.143,89.071,"-","80.817999999999998",65.771,77.017,101.32,1922
"2004. 12",76.685,73.796,91.719,71.425,70.667,85.696,"93.287999999999997",68.169,82.28,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,82.772,"-",66.114,"-",73.663,71.334,70.119,69.153,64.143,89.071,"-","80.817999999999998",65.771,77.017,93.575,1726
