"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","집세","유치원납입금","고등학교납입금","보육시설이용료","독서실비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","X20대취업율","X30대취업율","X40대취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_silup_rate","F_silup_rate","대학교납입금","청소년학원비","예체능학원비","대학원납입금"
"2013. 07",100.743,97.286,101.336,95.038,94.765,129.225,94.361,90.333,100,85.099,99.905,101.067,97.018,97.937,97.854,1050,209,342,402,2162,1169,1196,890,633,4.3,4.1,301.293,192.393,391.54,198.403
"2013. 08",104.802,97.017,101.223,95.013,94.765,130.341,94.511,90.333,100,85.099,99.905,101.067,97.018,97.937,97.854,1001,212,340,405,2203,1170,1198,887,637,4.1,3.8,301.293,192.393,391.54,198.403
"2013. 09",104.305,97.968,101.438,95.038,94.765,129.363,94.722,90.472,100,85.099,99.905,101.781,97.117,95.957,97.854,1186,217,346,403,2129,1172,1200,888,639,3.9,2.9,301.283,192.393,391.54,198.403
"2013. 10",99.739,98.04,101.962,95.038,94.952,127.684,95.066,90.472,100,85.099,99.905,101.781,97.117,94.807,97.854,2098,206,351,407,2144,1174,1202,895,639,3.7,3.5,301.283,192.393,391.54,198.403
"2013. 11",96.462,98.685,101.654,97.973,94.952,126.258,95.357,90.472,100,85.099,99.905,101.781,97.631,94.807,97.854,2000,209,344,407,1972,1175,1203,885,630,3.2,4.3,301.283,192.393,391.54,198.403
"2013. 12",96.692,98.515,100.915,97.854,95.326,126.683,95.595,90.472,100,85.099,101.754,101.781,97.631,94.807,97.854,1795,211,345,402,1879,1177,1205,884,627,3.5,4.2,301.283,192.393,392.708,198.403
"2014. 01",99.03,98.614,101.613,97.973,95.326,128.282,96.001,90.472,100,85.099,101.754,101.781,98.011,96.243,97.854,1209,205,338,400,2362,1179,1207,892,632,5.4,6.6,301.283,194.657,394.363,198.403
"2014. 02",100.485,99.071,101.459,97.88,95.335,127.787,96.001,90.472,100,85.099,101.754,101.781,98.011,96.243,97.854,1212,206,332,404,2192,1180,1209,891,636,5.5,6.5,301.283,194.657,394.363,198.403
"2014. 03",99.886,99.286,101.469,97.795,95.853,127.638,96.177,95.989,100,94.548,101.754,101.781,98.101,96.243,97.854,1716,200,336,407,2219,1182,1210,897,638,4.9,5.6,300.276,194.657,394.363,199.47
"2014. 04",98.957,98.963,101.1,97.711,95.768,127.028,96.424,95.989,100,94.548,101.754,101.781,98.101,96.243,97.854,1640,208,340,407,2246,1184,1212,906,651,4.5,4.3,300.276,194.657,394.363,199.47
"2014. 05",99.408,99.394,101.264,98.294,96.338,126.752,96.654,95.989,100,94.548,101.754,101.781,97.424,96.243,97.854,1748,209,340,407,2118,1185,1214,907,662,4.3,5.4,300.276,194.657,394.363,199.47
"2014. 06",98.165,99.349,100.915,98.954,96.338,125.614,96.715,95.989,100,94.548,101.754,101.781,97.424,97.17,97.854,1414,206,341,409,1955,1187,1216,902,663,4,5,300.276,195.047,394.363,199.47
"2014. 07",97.125,99.358,100.648,98.954,97.197,125.211,96.857,95.989,100,94.548,101.754,101.781,96.72,96.537,97.854,958,211,341,407,2156,1188,1217,904,665,4.6,4,300.276,195.047,394.363,199.47
"2014. 08",99.132,99.241,100.546,98.954,97.154,123.98,97.068,95.989,100,94.548,101.754,101.781,96.72,96.537,97.854,940,211,336,402,2227,1190,1218,893,656,4.1,3.9,300.276,195.047,394.363,199.47
"2014. 09",99.785,99.053,100.176,99.063,97.154,121.749,97.218,95.989,100,94.548,101.754,101.781,96.521,97.571,97.854,1207,215,337,405,2248,1191,1220,895,656,3.7,4,300.266,195.981,394.363,199.47
"2014. 10",97.3,98.99,100.227,99.063,97.154,119.518,97.474,95.989,100,94.548,101.754,99.286,96.63,97.571,97.854,1903,211,336,402,2118,1191,1221,888,648,3.5,4.7,300.266,195.981,394.363,199.47
"2014. 11",96.204,98.784,99.766,100.171,96.993,116.091,97.694,95.989,100,94.548,101.754,99.286,98.751,97.571,97.854,1651,208,338,396,1937,1193,1222,895,645,3.8,5.5,300.266,195.981,394.363,199.47
"2014. 12",97.235,98.363,99.54,100.044,99.297,111.605,97.994,95.989,100,94.548,101.754,99.286,99.843,97.723,97.854,1653,206,339,393,2008,1194,1223,879,631,4.1,5.4,300.266,195.981,394.363,199.47
