"楷飞拌摸喊","15 - 19技","20 - 29技","30 - 39技","40 - 49技","50 - 59技","60技捞惑","15 - 64技","15 - 24技","15 - 29技","拌","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"2009. 05",10,231,333,395,231,102,"1247",85,240,1301,2012,1084,1107,819,552,265,555,75.5,49.9,5.8,4.1,71.2,47.8,74.6,51.7
"2009. 06",10,240,335,403,237,110,"1275",91,250,1335,1825,1085,1108,829,573,256,535,76.4,51.7,5.3,4,72.3,49.6,75.4,53.5
"2009. 07",15,246,335,400,230,114,"1277",101,260,1339,1903,1087,1109,833,570,254,539,76.6,51.4,5.2,3.6,72.7,49.5,75.9,53.2
"2009. 08",15,237,332,392,233,107,"1258",96,251,1315,1966,1088,1111,822,552,266,559,75.5,49.7,5,3.3,71.8,48,75,51.9
"2009. 09",10,233,334,396,238,106,"1262",87,243,1316,2044,1090,1112,812,562,277,551,74.5,50.5,4.9,3.2,70.9,48.9,74.5,52.8
"2009. 10",11,235,338,393,235,106,"1264",87,246,1318,2040,1091,1114,818,557,273,557,75,50,4.9,3.1,71.4,48.4,75,52.3
"2009. 11",14,233,337,395,234,110,"1268",90,247,1323,1912,1093,1115,824,566,269,550,75.4,50.7,5.3,4.2,71.5,48.6,75.1,52.5
"2009. 12",10,235,340,391,231,92,"1259",87,245,1299,1874,1094,1117,814,547,280,570,74.4,49,4.3,4.9,71.2,46.6,75.4,51.2
"2010. 01",17,229,335,392,226,83,"1251",91,246,1282,2352,1097,1119,815,552,282,567,74.3,49.4,5.6,7.1,70.1,45.8,74.7,50.7
"2010. 02",13,229,333,390,225,91,"1241",90,241,1280,2034,1099,1120,819,549,280,571,74.5,49,6.1,6.8,70,45.7,74.4,50
"2010. 03",11,227,333,391,235,104,"1255",85,238,1301,2215,1100,1122,822,554,278,567,74.7,49.4,5.5,5.4,70.6,46.7,74.9,50.6
"2010. 04",12,235,332,393,242,117,"1273",92,247,1332,2100,1101,1123,833,566,268,557,75.7,50.4,5.1,4.3,71.8,48.2,75.6,51.7
"2010. 05",12,237,333,397,249,124,"1290",91,249,1351,2095,1103,1125,840,568,263,557,76.2,50.5,4.4,3.5,72.8,48.7,76.7,52.1
"2010. 06",13,237,334,395,249,117,"1289",93,250,1345,1980,1104,1126,834,572,270,555,75.5,50.8,4.5,4,72.1,48.7,76.1,52.5
"2010. 07",20,237,343,394,253,121,"1309",99,257,1369,2034,1106,1128,854,583,253,545,77.2,51.7,4.9,4.5,73.4,49.4,77.3,53
