"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","초등학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","10대취업율","20대취업율","30대취업율","40대취업율","50대취업율","60세이상취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"2000. 04",61.584,65.302,91.166,65.956,60.494,66.906,57.909,71.732,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,69.203,76.066,58.05,65.685,91.115,2172,26,235,376,286,122,53,2683,923,961,719,449,205,512,77.8,46.7,6,5.8,73.2,44,76.1,47
"2000. 05",59.969,65.435,91.351,66.556,60.494,66.264,57.909,71.949,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,69.203,76.066,58.05,65.685,91.115,2010,25,232,380,287,128,54,2782,925,962,720,450,205,512,77.9,46.7,5.3,5.7,73.7,44.1,76.6,47.1
"2000. 06",59.72,66.164,92.271,66.556,60.494,69.966,58.082,72.022,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,69.203,76.066,58.05,65.685,91.115,1051,26,231,378,290,130,55,2603,926,963,720,451,206,513,77.7,46.8,4.9,5.4,73.9,44.2,76.8,47.4
"2000. 07",60.403,66.032,92.364,66.556,60.494,69.966,57.966,72.238,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,69.203,76.066,58.05,65.685,91.115,580,28,237,377,296,129,55,2669,929,965,722,450,208,515,77.7,46.6,4.6,3.9,74.1,44.8,76.9,48
"2000. 08",62.392,66.695,92.64,66.556,60.494,72.67,58.024,72.382,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,68.109,76.066,58.05,65.685,91.115,620,25,230,375,293,122,55,2742,931,966,720,442,211,524,77.3,45.8,5.2,5.5,73.3,43.3,76,46.3
"2000. 09",67.426,67.226,93.284,66.556,60.494,74.664,58.198,72.382,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,68.109,76.066,58.05,66.871,91.115,1099,24,231,378,295,123,56,2925,933,967,720,449,213,519,77.1,46.4,4.6,6.2,73.6,43.5,76.4,46.6
"2000. 10",64.257,67.425,92.916,67.557,60.494,76.23,57.966,72.455,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,68.109,76.066,58.05,66.871,91.115,2431,24,240,381,298,126,55,2880,935,969,723,452,212,517,77.3,46.6,4.1,4.6,74.2,44.5,77.1,47.8
"2000. 11",60.838,67.226,92.824,68.024,60.494,75.66,56.75,72.96,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,68.109,76.066,58.05,66.871,91.115,2164,24,238,388,298,129,55,2728,936,970,719,462,217,508,76.8,47.6,4.2,4.1,73.5,45.7,76.6,49
"2000. 12",60.466,67.956,92.824,68.024,60.494,76.656,58.43,73.682,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,61.6,55.057,68.109,76.066,58.05,66.871,91.115,1712,23,235,386,299,124,49,2765,938,972,719,456,219,516,76.6,46.9,5.5,4.2,72.4,45,75.5,48.6
"2001. 01",63.075,68.156,92.916,67.957,60.554,75.66,59.821,73.972,55.505,92.508,56.271,63.732,58.316,58.018,50.654,86.403,74.982,64.358,58.93,62.74,61.6,56.159,68.109,76.066,58.05,66.871,96.217,861,26,236,370,291,117,48,3072,938,973,703,451,235,522,75,46.4,6,5.4,70.5,43.9,73.4,47.4
"2001. 02",63.075,68.421,92.916,67.89,61.577,75.803,60.343,74.116,55.505,92.508,56.271,63.732,58.316,58.018,50.654,86.403,74.982,64.358,58.93,62.74,61.6,56.159,68.109,76.142,58.05,66.871,96.217,1046,26,235,365,296,119,48,2727,939,975,707,453,232,521,75.2,46.5,6.7,5.5,70.2,44,73.2,47.5
"2001. 03",65.375,68.355,93.008,67.957,61.638,76.158,59.3,74.261,61.574,92.508,58.156,69.606,62.162,61.844,55.06,85.987,74.982,64.358,60.523,62.74,62.403,58.361,68.109,76.142,58.05,69.177,96.217,1751,26,235,371,305,124,49,2896,940,976,716,461,224,515,76.2,47.2,6.3,4.7,71.4,45,74.6,48.6
"2001. 04",66.059,68.553,92.547,67.957,61.638,76.799,60.923,74.622,61.574,92.508,58.156,69.606,62.162,61.844,55.06,85.987,74.982,64.358,60.523,62.74,62.403,58.361,68.109,76.142,58.05,69.177,96.217,2094,26,240,372,313,132,54,2609,942,977,727,468,214,510,77.3,47.8,5.3,4.5,73.2,45.7,76.3,49.3
"2001. 05",64.381,68.62,92.824,68.424,61.638,75.944,61.039,74.766,61.574,92.508,58.156,67.668,62.162,61.844,55.06,85.987,74.982,64.358,60.523,62.74,62.403,58.361,68.109,76.142,58.05,69.177,96.217,1972,24,245,375,318,135,60,2511,943,979,734,474,210,504,77.8,48.5,4.5,3.9,74.3,46.6,77.2,50.2
"2001. 06",64.94,68.687,91.995,68.29,61.638,76.371,61.56,75.705,61.574,92.508,58.156,67.668,62.162,61.844,55.06,85.987,74.982,64.358,60.523,62.74,62.403,58.361,68.109,76.142,58.05,69.177,96.217,878,22,243,374,322,132,60,2344,945,980,726,475,219,505,76.8,48.4,4.2,3.6,73.6,46.7,76.6,50.2
"2001. 07",66.804,68.488,91.719,68.357,61.698,76.514,60.575,75.922,61.574,92.508,58.156,67.668,62.162,61.844,55.06,85.987,74.982,64.358,60.523,62.74,63.761,58.361,68.109,76.142,58.05,71.089,96.217,754,23,245,369,320,131,61,2339,947,982,735,464,211,518,77.7,47.3,4.6,3.9,74.1,45.4,77,48.8
"2001. 08",69.849,68.553,92.364,68.357,61.698,74.664,61.619,75.994,61.574,92.508,58.156,67.668,62.162,61.844,55.06,85.987,78.203,64.358,60.523,62.74,63.761,58.361,68.109,76.142,58.05,71.089,96.217,604,24,243,363,317,134,62,2355,948,983,738,455,210,529,77.9,46.2,5,3,74,44.9,77,48.1
"2001. 09",68.296,68.488,92.732,68.424,61.698,74.236,61.502,76.5,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,78.203,64.358,60.523,62.74,63.761,58.361,68.109,76.142,58.05,71.089,96.217,1168,21,249,370,325,137,63,2470,949,985,741,468,209,516,78,47.5,4.4,2.4,74.6,46.4,77.6,49.7
"2001. 10",67.115,68.553,92.824,68.89,61.698,74.308,61.212,76.572,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,78.203,65.424,60.523,62.74,63.761,58.361,68.109,76.142,58.05,71.089,96.217,1936,23,245,372,323,134,64,2454,951,985,739,473,212,512,77.7,48,4.7,3.4,74,46.4,77,49.6
"2001. 11",64.567,68.222,92.824,68.957,63.082,72.172,60.516,77.078,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,78.203,65.424,60.523,62.74,63.761,58.361,68.109,80.906,58.05,71.089,96.217,2240,25,245,374,331,137,63,2383,952,987,743,485,210,502,78,49.2,5.1,3.5,74.1,47.4,77.1,50.8
"2001. 12",65.935,67.824,91.075,69.558,63.082,69.326,62.024,77.512,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,78.203,65.424,61.377,62.74,63.761,58.361,68.109,80.906,58.05,71.089,96.217,1762,23,241,366,332,133,57,2334,954,988,734,472,220,516,77,47.8,4.6,4.4,73.4,45.7,76.6,49.3
"2002. 01",67.488,67.956,91.258,69.558,63.142,70.322,61.851,77.656,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,74.982,65.989,61.377,62.74,63.761,59.462,68.109,80.906,58.05,71.089,96.217,982,28,243,365,330,128,57,2766,956,989,732,478,224,511,76.6,48.3,5.5,3.8,72.4,46.5,75.4,50.3
"2002. 02",70.036,68.488,91.443,69.424,64.045,70.464,64.342,77.872,61.574,92.508,58.156,67.668,61.588,61.844,55.06,85.987,74.982,65.989,61.377,65.186,63.761,59.462,65.921,80.906,58.05,71.089,98.677,812,26,243,363,334,131,58,2425,957,990,735,480,222,510,76.8,48.5,5.3,4.7,72.7,46.2,75.7,49.9
"2002. 03",68.419,68.62,91.351,69.491,64.286,71.033,64.517,78.305,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,65.989,63.538,65.186,65.613,59.462,60.108,80.906,58.05,71.089,98.677,1923,21,238,367,336,135,60,2633,958,991,740,475,219,516,77.2,47.9,4.9,4.6,73.4,45.7,76.5,49.4
"2002. 04",69.228,69.283,91.812,69.624,66.332,73.382,64.69,78.522,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,65.989,63.538,65.186,65.613,59.462,60.108,82.72,58.05,71.089,98.677,2010,23,249,373,339,141,60,2179,960,993,750,490,210,503,78.1,49.3,4.9,3.5,74.3,47.6,77.4,51.4
"2002. 05",70.844,69.55,91.535,70.024,66.392,74.877,64.574,78.883,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,65.989,63.538,65.186,65.613,60.563,60.108,82.72,61.185,71.089,98.677,1748,24,248,371,337,143,66,2268,961,994,747,495,214,499,77.7,49.8,4.5,4,74.2,47.9,77.2,51.6
"2002. 06",69.166,69.682,91.627,70.024,66.392,74.806,65.096,79.317,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,65.989,63.538,65.186,65.613,60.563,60.108,82.72,61.185,71.089,98.677,1180,24,238,376,343,141,67,2050,962,995,744,489,219,506,77.3,49.1,4,3.1,74.2,47.6,77.3,51.4
"2002. 07",67.364,69.416,91.258,70.024,66.392,73.88,64.227,79.895,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.143,74.982,61.284,63.538,65.186,65.613,60.563,60.108,82.72,60.547,72.472,101.228,631,25,241,375,343,140,66,2115,964,996,749,483,215,513,77.7,48.5,3.5,3.4,75,46.9,78,50.7
"2002. 08",71.092,69.615,91.075,70.024,66.633,73.88,65.096,80.112,67.202,99.63,64.809,76.29,66.696,67.097,61.448,91.726,74.982,61.284,63.538,65.186,65.613,60.563,60.108,82.72,60.547,74.448,101.228,646,21,237,365,347,136,62,2120,965,997,737,480,227,517,76.4,48.1,4.2,3.7,73.2,46.3,76.3,50.2
"2002. 09",74.013,69.814,92.364,70.024,66.754,73.525,65.444,80.546,67.202,99.63,64.809,76.29,66.696,67.097,61.448,96.798,74.982,62.475,63.538,65.186,66.971,60.563,60.108,82.72,60.547,74.448,101.228,1002,19,238,371,350,140,64,2126,965,998,739,479,226,518,76.6,48.1,3.4,2.4,74,46.9,77,50.8
"2002. 10",68.543,70.611,92.916,71.225,66.934,76.656,65.618,80.69,67.202,99.63,64.809,76.29,66.696,67.097,61.448,95.967,74.982,63.667,63.538,65.186,66.971,62.766,59.014,82.72,60.547,74.448,103.78,2088,17,236,371,354,144,65,2140,967,998,750,482,217,516,77.6,48.3,3.9,3.2,74.5,46.8,77.6,50.6
"2002. 11",68.357,70.744,92.64,71.891,66.934,77.867,64.69,81.051,67.202,99.63,64.809,76.29,66.696,67.097,61.448,95.967,74.982,63.667,63.538,65.186,66.971,62.766,59.014,82.72,60.547,74.448,103.78,2111,17,239,369,357,145,63,1992,967,999,750,481,218,518,77.5,48.2,3.6,2.9,74.7,46.8,77.8,50.7
"2002. 12",69.849,70.81,93.284,71.825,66.934,76.585,65.502,81.413,67.202,99.63,64.809,76.29,66.696,67.097,61.448,93.389,74.982,63.667,63.538,65.186,66.971,62.766,59.014,82.72,60.547,74.448,103.78,1718,17,238,367,358,146,62,1961,968,1000,753,479,215,521,77.8,47.9,4,2.9,74.7,46.5,77.7,50.5
"2003. 01",71.589,71.142,93.561,71.825,66.995,78.294,65.618,81.484,67.202,99.63,64.809,76.29,66.696,67.097,61.448,93.389,76.555,63.667,64.392,66.567,68.329,62.766,60.587,82.72,60.547,74.448,103.78,885,21,239,344,345,139,58,2484,969,1000,742,465,228,536,76.5,46.4,5.5,4.1,72.3,44.5,75.2,48.2
"2003. 02",72.397,71.672,93.652,71.891,68.078,80.784,65.559,81.556,67.202,99.63,64.809,76.29,66.696,67.097,61.448,93.389,76.555,64.608,64.392,66.567,68.329,63.867,60.587,82.72,60.547,75.436,103.78,910,19,239,340,349,137,58,2309,970,1001,740,462,231,539,76.2,46.1,5.2,4.6,72.3,44,75.3,47.5
"2003. 03",73.889,71.939,93.376,71.624,68.318,82.279,65.85,81.629,71.12,105.201,70.243,85.912,72.494,72.751,68.826,95.967,78.129,64.608,70.421,67.884,68.329,68.272,60.587,82.72,60.547,75.436,103.78,1741,16,238,350,359,140,65,2476,971,1002,753,472,219,530,77.5,47.1,5.1,4,73.6,45.3,76.5,48.9
"2003. 04",73.329,71.341,92.64,71.825,68.318,78.435,66.256,81.773,73.106,105.201,70.243,85.912,70.829,72.751,68.826,95.967,78.129,64.608,70.421,67.884,69.625,68.272,60.587,82.72,60.547,75.436,103.78,1750,16,241,351,359,147,63,2429,973,1002,755,474,218,528,77.6,47.3,4.4,4.1,74.2,45.4,77.3,49.1
"2003. 05",71.092,71.341,92.64,72.291,68.318,77.937,66.256,82.206,73.106,105.201,70.243,85.912,70.829,72.751,68.826,95.967,78.129,64.608,70.421,67.884,69.625,68.272,60.587,82.72,60.547,75.436,103.78,1750,14,236,352,360,151,68,2388,974,1003,755,477,219,526,77.5,47.6,4.4,3.9,74.1,45.8,76.9,49.5
"2003. 06",69.663,71.076,92.824,72.291,68.318,76.87,66.371,82.28,73.106,105.201,70.243,85.912,70.829,71.151,68.826,95.967,81.275,64.608,70.421,67.884,69.625,68.272,60.587,82.72,60.547,75.436,103.78,979,13,241,348,360,149,72,1918,975,1004,754,478,220,526,77.4,47.6,4.5,3.5,74,45.9,76.6,49.4
"2003. 07",69.849,70.744,90.798,72.291,68.318,77.511,65.734,82.423,73.106,105.201,70.243,85.912,70.829,71.151,68.826,95.967,79.702,64.608,70.421,67.884,68.329,68.272,61.613,82.72,60.547,75.436,103.78,577,19,245,349,359,150,71,2025,976,1005,762,486,214,518,78.1,48.4,4.9,3.5,74.3,46.7,77.1,50.4
"2003. 08",71.278,70.876,90.798,72.291,68.318,77.511,66.603,82.784,73.106,105.201,70.243,85.912,70.829,71.151,68.826,95.967,79.702,64.608,70.421,67.884,68.329,68.272,61.613,82.72,62.461,75.436,103.78,706,16,235,340,350,151,70,2099,976,1005,748,466,228,539,76.6,46.4,4.3,4.1,73.3,44.5,76.1,47.9
"2003. 09",76.499,70.942,91.075,72.225,68.318,77.511,66.893,82.929,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,64.608,70.421,67.884,68.329,68.272,61.613,82.72,62.461,75.436,103.78,949,11,241,343,358,151,75,2234,977,1006,749,478,227,528,76.7,47.5,4.4,3.4,73.3,45.9,75.8,49.3
"2003. 10",78.238,70.876,90.798,72.025,68.318,77.582,66.951,83.002,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,64.608,70.421,69.201,66.971,68.272,61.613,82.72,62.461,75.436,103.78,2084,9,241,343,360,151,72,2322,977,1006,751,476,227,530,76.8,47.3,4.6,3.2,73.3,45.8,75.9,49.2
"2003. 11",75.629,70.942,91.075,72.025,68.68,79.29,64.574,83.073,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,64.608,70.421,69.201,66.971,68.272,61.613,82.72,62.461,75.436,103.78,1863,10,245,343,361,151,73,2163,978,1007,747,484,231,523,76.4,48.1,4.2,3.5,73.2,46.4,75.9,50
"2003. 12",75.69,71.739,91.258,72.025,70.546,80.643,66.893,83.073,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,64.608,70.421,69.201,66.971,68.272,61.613,89.071,63.739,75.436,103.78,1526,15,242,341,359,147,65,1985,978,1007,745,481,233,526,76.2,47.8,5.2,3.9,72.3,45.9,75.3,49.6
"2004. 01",77.617,72.138,91.627,71.958,70.607,82.563,66.198,83.073,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,79.702,64.608,70.819,69.201,66.971,68.272,63.665,89.071,63.739,75.436,98.314,835,17,246,338,350,147,63,2402,980,1008,742,473,238,534,75.7,47,5,3.6,71.9,45.3,75,49
"2004. 02",77.99,72.336,91.258,72.225,70.305,83.703,66.835,82.929,73.106,105.201,70.243,85.912,70.829,71.151,68.826,97.131,81.275,64.608,70.819,69.201,66.971,68.272,65.785,89.071,63.739,75.436,96.582,1201,14,241,341,353,145,64,2192,980,1008,740,480,241,528,75.5,47.6,5.5,4.5,71.3,45.5,74.4,49.1
"2004. 03",80.538,72.734,92.364,72.025,70.365,84.415,67.299,82.713,82.431,110.132,75.676,92.161,76.913,74.806,73.282,101.787,81.275,66.114,72.753,71.334,70.119,69.153,65.785,89.071,63.739,76.424,98.769,1448,12,243,341,362,147,74,2435,981,1009,749,495,232,514,76.4,49,5.2,5.3,72.4,46.4,75.4,49.9
"2004. 04",80.041,72.802,92.364,72.092,70.486,83.917,66.951,82.784,82.431,110.132,75.676,92.161,76.913,74.806,73.282,101.787,83.746,66.114,72.753,71.334,70.119,69.153,65.785,89.071,63.739,76.424,98.769,1259,11,246,346,369,150,75,2053,981,1009,754,500,228,509,76.8,49.5,4.5,4.4,73.4,47.4,76.2,50.9
"2004. 05",78.114,73,92.18,71.558,70.486,84.913,67.241,82.784,82.431,110.132,75.676,92.161,76.913,74.806,73.282,101.787,83.746,66.114,72.753,71.334,70.119,69.153,64.143,89.071,63.739,76.424,98.769,2047,13,246,346,364,148,73,2083,982,1010,751,493,231,517,76.5,48.8,4.2,4.5,73.3,46.6,76.3,50.2
"2004. 06",77.12,73.199,92.088,71.558,70.486,84.628,67.994,82.857,82.431,110.132,75.676,92.161,76.913,74.806,73.282,101.787,83.746,66.114,72.753,71.334,70.119,69.153,64.143,89.071,63.739,76.424,101.32,1008,13,247,347,359,150,75,1935,983,1011,749,491,234,520,76.2,48.6,4.2,3.6,73,46.8,76,50.2
"2004. 07",79.606,73.199,91.627,71.358,70.486,85.482,67.762,82.784,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,66.114,72.753,71.334,70.119,69.153,64.143,89.071,63.739,77.017,101.32,668,20,247,344,358,147,72,2048,984,1011,754,489,230,523,76.6,48.3,5,3.5,72.8,46.6,75.8,50.2
"2004. 08",82.651,73.73,91.812,71.358,70.667,87.689,68.169,82.713,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,66.114,72.753,71.334,70.119,69.153,64.143,89.071,63.739,77.017,101.32,663,14,244,340,348,149,73,2003,985,1012,741,481,244,531,75.3,47.5,4.7,4.6,71.8,45.4,74.8,48.5
"2004. 09",82.899,73.664,91.719,71.091,70.667,87.547,67.53,82.784,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,66.114,73.663,71.334,70.119,69.153,64.143,89.071,63.739,77.017,101.32,916,17,240,347,358,147,73,2024,986,1014,743,490,243,524,75.4,48.3,4.4,3.6,72.1,46.6,75.2,50
"2004. 10",80.786,74.194,91.535,71.225,70.667,88.97,67.415,82.64,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,66.114,73.663,71.334,70.119,69.153,64.143,89.071,65.771,77.017,101.32,2207,16,238,346,359,150,76,2143,987,1015,753,487,234,528,76.3,48,4.8,3.6,72.6,46.2,75.6,49.7
"2004. 11",76.933,73.863,91.535,71.691,70.667,88.045,66.082,82.64,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,83.746,66.114,73.663,71.334,70.119,69.153,64.143,89.071,65.771,77.017,101.32,1922,16,240,343,363,156,78,1935,987,1016,760,491,228,525,76.9,48.3,5,3.4,73.1,46.6,76.1,50.1
"2004. 12",76.685,73.796,91.719,71.425,70.667,85.696,68.169,82.28,82.431,110.132,75.676,92.161,75.535,74.806,73.282,101.787,82.772,66.114,73.663,71.334,70.119,69.153,64.143,89.071,65.771,77.017,93.575,1726,17,238,341,369,155,71,1839,988,1017,756,495,233,522,76.5,48.7,5.3,4.2,72.4,46.6,75.6,50.3
"2005. 01",79.038,74.955,92.625,71.305,71.349,85.884,72.656,82.122,82.404,109.197,75.625,92.207,75.541,75.605,72.519,101.813,82.784,66.131,74.103,71.294,70.116,70.694,64.146,90.357,68.814,77.026,93.542,1118,18,229,345,358,150,69,2168,989,1018,750,482,239,536,75.8,47.3,5.9,4.2,71.4,45.4,74.7,49.2
"2005. 02",81.177,75.183,92.443,71.377,71.708,86.62,72.801,82.122,82.404,109.197,75.625,92.207,75.541,75.605,72.519,101.813,81.941,66.131,74.103,71.294,70.116,70.694,64.146,90.357,68.814,77.026,93.542,901,16,235,337,351,150,63,1792,990,1019,739,474,251,545,74.6,46.5,5.5,4.6,70.6,44.4,74.1,48.3
"2005. 03",81.335,75.563,92.17,71.449,71.78,89.016,72.801,81.959,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,82.953,66.131,76.462,72.158,70.116,71.479,64.869,90.357,68.814,77.026,99.753,1565,14,230,343,358,154,70,2100,991,1020,751,478,240,542,75.8,46.8,5.1,4.6,71.9,44.7,75.3,48.5
"2005. 04",81.731,75.714,91.804,71.377,71.924,90.859,72.365,81.959,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,82.953,66.131,76.462,72.158,70.116,71.479,66.25,90.357,70.286,77.026,99.753,1757,13,235,340,368,156,72,1839,992,1021,760,483,233,538,76.6,47.3,4.9,4.6,72.8,45.1,76.3,48.7
"2005. 05",79.355,75.791,91.804,71.809,71.924,89.754,72.874,81.877,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,82.953,66.131,76.462,72.158,70.116,71.479,66.25,90.357,71.828,77.026,93.542,1857,15,236,343,368,162,77,1819,993,1022,767,489,226,533,77.3,47.8,4.8,3.4,73.5,46.2,76.8,50
"2005. 06",77.612,75.563,90.528,71.809,71.924,90.214,72.874,81.713,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,82.953,66.131,76.462,72.158,70.116,71.479,66.25,90.357,71.828,77.026,93.542,1196,16,235,348,370,163,76,1813,994,1023,772,491,222,532,77.6,48,4.9,3.7,73.9,46.2,77.2,50.2
"2005. 07",78.959,75.791,89.981,71.809,71.924,93.162,72.147,81.713,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,86.072,66.131,76.462,72.158,69.276,71.479,66.25,90.357,71.828,77.8,93.542,607,19,231,342,373,162,72,1803,995,1025,772,483,223,542,77.6,47.1,4.9,3.7,73.8,45.4,77.2,49.5
"2005. 08",79.355,76.094,90.255,71.737,71.636,94.821,72.728,81.549,89.278,112.442,80.992,93.727,80.397,79.385,77.098,106.792,86.072,66.131,76.462,72.158,70.116,71.479,66.25,90.357,71.828,77.8,93.542,735,18,226,340,375,163,74,1995,997,1026,767,481,230,545,76.9,46.9,4.8,3.5,73.2,45.3,76.5,49.3
